iteration,estimator,scoring,loss,mean_score,std_score,min_score,max_score,train_time,status,params
4,XGBClassifier,accuracy,0.20197099993722933,0.7980290000627707,0.02821493259323839,0.7541899441340782,0.8258426966292135,0.6548800919999849,ok,"{'colsample_bytree': 0.9444544589537369, 'gamma': 5.569080435961908, 'learning_rate': 0.14920675144851978, 'max_depth': 11, 'min_child_weight': 15.120047295577136, 'n_estimators': 1018, 'subsample': 0.5917725583782312, 'n_jobs': 5, 'random_state': 0}"
5,XGBClassifier,accuracy,0.20538572594312965,0.7946142740568704,0.028097618944673032,0.7471910112359551,0.8258426966292135,0.11237566399995558,ok,"{'colsample_bytree': 0.7490026466491058, 'gamma': 8.206285200861586, 'learning_rate': 0.13765582672834187, 'max_depth': 14, 'min_child_weight': 10.539954199891891, 'n_estimators': 122, 'subsample': 0.49270873140998384, 'n_jobs': 5, 'random_state': 0}"
6,XGBClassifier,accuracy,0.21101625761094722,0.7889837423890528,0.020449337200093957,0.7528089887640449,0.8089887640449438,0.7715051580000818,ok,"{'colsample_bytree': 0.6574171448516624, 'gamma': 1.9855412087921664, 'learning_rate': 0.25148430496489416, 'max_depth': 6, 'min_child_weight': 12.446508781465262, 'n_estimators': 1743, 'subsample': 0.3217743205656026, 'n_jobs': 5, 'random_state': 0}"
7,XGBClassifier,accuracy,0.17398782248446432,0.8260121775155357,0.028780817791176583,0.797752808988764,0.8707865168539326,4.866098681999915,ok,"{'colsample_bytree': 0.5043441670382496, 'gamma': 3.3131540229856205, 'learning_rate': 0.29222018094112184, 'max_depth': 5, 'min_child_weight': 10.495348965925274, 'n_estimators': 8459, 'subsample': 0.7811882287790912, 'n_jobs': 5, 'random_state': 0}"
8,XGBClassifier,accuracy,0.19078526143995977,0.8092147385600402,0.01900635600019082,0.7808988764044944,0.8370786516853933,4.960355550000031,ok,"{'colsample_bytree': 0.536771275245494, 'gamma': 8.67508728740532, 'learning_rate': 0.020862587430587366, 'max_depth': 10, 'min_child_weight': 3.7248873586280067, 'n_estimators': 7262, 'subsample': 0.4593482784233751, 'n_jobs': 5, 'random_state': 0}"
9,XGBClassifier,accuracy,0.17509886385035467,0.8249011361496453,0.016953609229738063,0.7921348314606742,0.8379888268156425,5.280138946999955,ok,"{'colsample_bytree': 0.7002395851222076, 'gamma': 9.23236168878677, 'learning_rate': 0.12978078670395388, 'max_depth': 14, 'min_child_weight': 1.9725545090164363, 'n_estimators': 3769, 'subsample': 0.8014797951061192, 'n_jobs': 5, 'random_state': 0}"
10,XGBClassifier,accuracy,0.17283911869939117,0.8271608813006088,0.016807937334616482,0.8146067415730337,0.8595505617977528,0.415689604000022,ok,"{'colsample_bytree': 0.6623664602440996, 'gamma': 1.8975164096033292, 'learning_rate': 0.18868882054385103, 'max_depth': 6, 'min_child_weight': 7.559902253817272, 'n_estimators': 572, 'subsample': 0.7809956126927189, 'n_jobs': 5, 'random_state': 0}"
11,XGBClassifier,accuracy,0.20544849664176756,0.7945515033582324,0.07865627157835114,0.6404494382022472,0.8491620111731844,3.0345329949999496,ok,"{'colsample_bytree': 0.8972313226595255, 'gamma': 0.43544406224798826, 'learning_rate': 0.07014724364392104, 'max_depth': 5, 'min_child_weight': 5.182743076859795, 'n_estimators': 4874, 'subsample': 0.43947417374603315, 'n_jobs': 5, 'random_state': 0}"
12,XGBClassifier,accuracy,0.2065030443788839,0.7934969556211161,0.021069521482680487,0.7696629213483146,0.8258426966292135,0.9521990990000404,ok,"{'colsample_bytree': 0.6391268367733528, 'gamma': 8.515921107182535, 'learning_rate': 0.2181316285014846, 'max_depth': 19, 'min_child_weight': 12.208925380361276, 'n_estimators': 2047, 'subsample': 0.4050885470446183, 'n_jobs': 5, 'random_state': 0}"
13,XGBClassifier,accuracy,0.21546670014437264,0.7845332998556274,0.020650123135135395,0.7640449438202247,0.8146067415730337,1.4845905639999728,ok,"{'colsample_bytree': 0.9574573015260694, 'gamma': 2.2439535358593243, 'learning_rate': 0.2710041092443316, 'max_depth': 10, 'min_child_weight': 19.377576918192567, 'n_estimators': 2911, 'subsample': 0.4352931297993291, 'n_jobs': 5, 'random_state': 0}"
