iteration,estimator,scoring,loss,mean_score,std_score,min_score,max_score,train_time,status,params
24,LogisticRegression,accuracy,0.19305756073065106,0.8069424392693489,0.01705565938286053,0.7865168539325843,0.8314606741573034,1.1298466439998265,ok,"{'C': 0.12201104544149802, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
25,LogisticRegression,accuracy,0.18743330613269737,0.8125666938673026,0.011058907411128461,0.797752808988764,0.8314606741573034,1.1524808970002596,ok,"{'C': 0.06364470825719874, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
26,LogisticRegression,accuracy,0.19305756073065106,0.8069424392693489,0.01705565938286053,0.7865168539325843,0.8314606741573034,1.213670792999892,ok,"{'C': 0.12348594558485962, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
27,LogisticRegression,accuracy,0.19190257987571402,0.808097420124286,0.014580061914838812,0.7921348314606742,0.8314606741573034,1.1827778030001355,ok,"{'C': 0.047946834220442526, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
28,LogisticRegression,accuracy,0.1941309396773585,0.8058690603226415,0.02497651225832023,0.776536312849162,0.8370786516853933,1.1841626149998774,ok,"{'C': 0.023894475489237354, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
29,LogisticRegression,accuracy,0.20197727700709311,0.7980227229929069,0.02737091536085068,0.7597765363128491,0.8370786516853933,1.1918825079997077,ok,"{'C': 0.010888073452329445, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
30,LogisticRegression,accuracy,0.18630971062707924,0.8136902893729208,0.010922866328636162,0.797752808988764,0.8314606741573034,1.1819646009998905,ok,"{'C': 0.058095944009521665, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
31,LogisticRegression,accuracy,0.19418115623626897,0.805818843763731,0.018144445640214522,0.7865168539325843,0.8314606741573034,1.2016508000001522,ok,"{'C': 0.1306856058755933, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
32,LogisticRegression,accuracy,0.19306383780051473,0.8069361621994853,0.02047313848986805,0.7808988764044944,0.8314606741573034,1.1741827320001903,ok,"{'C': 0.19750393865632299, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
33,LogisticRegression,accuracy,0.223256543845333,0.776743456154667,0.042954955440417095,0.6983240223463687,0.8202247191011236,1.1836020579999058,ok,"{'C': 0.004771156672148549, 'penalty': 'l2', 'n_jobs': 5, 'random_state': 0}"
